"","ID","Group","WD","Weight","Time","stdweight"
"1","1","1","WD1",240,1,-1.00114290298173
"2","2","1","WD1",225,1,-1.12038573013588
"3","3","1","WD1",245,1,-0.961395293930349
"4","4","1","WD1",260,1,-0.842152466776197
"5","5","1","WD1",255,1,-0.881900075827581
"6","6","1","WD1",260,1,-0.842152466776197
"7","7","1","WD1",275,1,-0.722909639622045
"8","8","1","WD1",245,1,-0.961395293930349
"9","9","2","WD1",410,1,0.350275804765321
"10","10","2","WD1",405,1,0.310528195713937
"11","11","2","WD1",445,1,0.628509068125008
"12","12","2","WD1",555,1,1.50295646725545
"13","13","3","WD1",470,1,0.827247113381928
"14","14","3","WD1",535,1,1.34396603104992
"15","15","3","WD1",520,1,1.22472320389577
"16","16","3","WD1",510,1,1.145227985793
"17","1","1","WD8",250,8,-0.961702645457333
"18","2","1","WD8",230,8,-1.12324849666276
"19","3","1","WD8",250,8,-0.961702645457333
"20","4","1","WD8",255,8,-0.921316182655975
"21","5","1","WD8",260,8,-0.880929719854617
"22","6","1","WD8",265,8,-0.840543257053259
"23","7","1","WD8",275,8,-0.759770331450544
"24","8","1","WD8",255,8,-0.921316182655975
"25","9","2","WD8",415,8,0.371050626987475
"26","10","2","WD8",420,8,0.411437089788833
"27","11","2","WD8",445,8,0.613369403795622
"28","12","2","WD8",560,8,1.54225804822685
"29","13","3","WD8",465,8,0.774915255001053
"30","14","3","WD8",525,8,1.25955280861735
"31","15","3","WD8",525,8,1.25955280861735
"32","16","3","WD8",510,8,1.13839342021327
"33","1","1","WD15",255,15,-0.922124220155201
"34","2","1","WD15",230,15,-1.11832086274141
"35","3","1","WD15",250,15,-0.961363548672444
"36","4","1","WD15",255,15,-0.922124220155201
"37","5","1","WD15",255,15,-0.922124220155201
"38","6","1","WD15",270,15,-0.804406234603474
"39","7","1","WD15",260,15,-0.882884891637959
"40","8","1","WD15",260,15,-0.882884891637959
"41","9","2","WD15",425,15,0.412012949431047
"42","10","2","WD15",430,15,0.45125227794829
"43","11","2","WD15",450,15,0.608209592017261
"44","12","2","WD15",565,15,1.51071414791384
"45","13","3","WD15",475,15,0.804406234603474
"46","14","3","WD15",530,15,1.23603884829314
"47","15","3","WD15",530,15,1.23603884829314
"48","16","3","WD15",520,15,1.15756019125866
"49","1","1","WD22",260,22,-0.938344395613435
"50","2","1","WD22",232,22,-1.15866844657508
"51","3","1","WD22",255,22,-0.9776879761423
"52","4","1","WD22",265,22,-0.89900081508457
"53","5","1","WD22",270,22,-0.859657234555705
"54","6","1","WD22",275,22,-0.82031365402684
"55","7","1","WD22",270,22,-0.859657234555705
"56","8","1","WD22",268,22,-0.875394666767251
"57","9","2","WD22",428,22,0.383599910156436
"58","10","2","WD22",440,22,0.478024503425712
"59","11","2","WD22",452,22,0.572449096694989
"60","12","2","WD22",580,22,1.57964475823394
"61","13","3","WD22",485,22,0.832116728185499
"62","14","3","WD22",533,22,1.20981510126261
"63","15","3","WD22",540,22,1.26489611400302
"64","16","3","WD22",515,22,1.06817821135869
"65","1","1","WD29",262,29,-0.945744730553296
"66","2","1","WD29",240,29,-1.11637627599397
"67","3","1","WD29",262,29,-0.945744730553296
"68","4","1","WD29",265,29,-0.922476792538658
"69","5","1","WD29",270,29,-0.883696895847595
"70","6","1","WD29",275,29,-0.844916999156533
"71","7","1","WD29",273,29,-0.860428957832958
"72","8","1","WD29",270,29,-0.883696895847595
"73","9","2","WD29",438,29,0.419307632972117
"74","10","2","WD29",448,29,0.496867426354243
"75","11","2","WD29",455,29,0.551159281721731
"76","12","2","WD29",590,29,1.59821649238043
"77","13","3","WD29",487,29,0.799350620544534
"78","14","3","WD29",535,29,1.17163762877874
"79","15","3","WD29",543,29,1.23368546348444
"80","16","3","WD29",530,29,1.13285773208767
"81","1","1","WD36",258,36,-0.979900717531057
"82","2","1","WD36",240,36,-1.11663105020981
"83","3","1","WD36",265,36,-0.926727810378209
"84","4","1","WD36",268,36,-0.903939421598417
"85","5","1","WD36",273,36,-0.865958773632097
"86","6","1","WD36",277,36,-0.835574255259041
"87","7","1","WD36",274,36,-0.858362644038833
"88","8","1","WD36",265,36,-0.926727810378209
"89","9","2","WD36",443,36,0.425383257222784
"90","10","2","WD36",460,36,0.554517460308272
"91","11","2","WD36",455,36,0.516536812341952
"92","12","2","WD36",597,36,1.59518721458544
"93","13","3","WD36",493,36,0.805189736885984
"94","14","3","WD36",540,36,1.16220782776939
"95","15","3","WD36",546,36,1.20778460532898
"96","16","3","WD36",538,36,1.14701556858286
"97","1","1","WD43",266,43,-0.937583934610528
"98","2","1","WD43",243,43,-1.11728752207755
"99","3","1","WD43",267,43,-0.929770735155441
"100","4","1","WD43",270,43,-0.906331136790178
"101","5","1","WD43",274,43,-0.875078338969827
"102","6","1","WD43",278,43,-0.843825541149476
"103","7","1","WD43",276,43,-0.859451940059651
"104","8","1","WD43",265,43,-0.945397134065616
"105","9","2","WD43",442,43,0.437539169484913
"106","10","2","WD43",458,43,0.562550360766317
"107","11","2","WD43",451,43,0.507857964580703
"108","12","2","WD43",595,43,1.63295868611334
"109","13","3","WD43",493,43,0.836012341694388
"110","14","3","WD43",525,43,1.0860347242572
"111","15","3","WD43",538,43,1.18760631717334
"112","16","3","WD43",535,43,1.16416671880807
"113","1","1","WD44",266,44,-0.938323256233892
"114","2","1","WD44",244,44,-1.10709678009405
"115","3","1","WD44",267,44,-0.930651732422067
"116","4","1","WD44",272,44,-0.89229411336294
"117","5","1","WD44",273,44,-0.884622589551114
"118","6","1","WD44",278,44,-0.846264970491987
"119","7","1","WD44",271,44,-0.899965637174765
"120","8","1","WD44",267,44,-0.930651732422067
"121","9","2","WD44",446,44,0.442551029894677
"122","10","2","WD44",464,44,0.580638458507534
"123","11","2","WD44",450,44,0.473237125141978
"124","12","2","WD44",595,44,1.58560807785666
"125","13","3","WD44",504,44,0.887499410980549
"126","14","3","WD44",530,44,1.08695903008801
"127","15","3","WD44",544,44,1.19436036345356
"128","16","3","WD44",542,44,1.17901731582991
"129","1","1","WD50",265,50,-0.961514286078491
"130","2","1","WD50",238,50,-1.16179112869465
"131","3","1","WD50",264,50,-0.968931946916126
"132","4","1","WD50",274,50,-0.894755338539772
"133","5","1","WD50",276,50,-0.879920016864501
"134","6","1","WD50",284,50,-0.820578730163418
"135","7","1","WD50",282,50,-0.835414051838689
"136","8","1","WD50",273,50,-0.902172999377407
"137","9","2","WD50",456,50,0.455258933909874
"138","10","2","WD50",475,50,0.596194489824947
"139","11","2","WD50",462,50,0.499764898935686
"140","12","2","WD50",612,50,1.612414024581
"141","13","3","WD50",507,50,0.83355963662928
"142","14","3","WD50",543,50,1.10059542678415
"143","15","3","WD50",553,50,1.17477203516051
"144","16","3","WD50",550,50,1.1525190526476
"145","1","1","WD57",272,57,-0.929239653048066
"146","2","1","WD57",247,57,-1.11270256579201
"147","3","1","WD57",268,57,-0.958593719087096
"148","4","1","WD57",273,57,-0.921901136538308
"149","5","1","WD57",278,57,-0.88520855398952
"150","6","1","WD57",279,57,-0.877870037479762
"151","7","1","WD57",281,57,-0.863193004460246
"152","8","1","WD57",274,57,-0.91456262002855
"153","9","2","WD57",468,57,0.509109582864439
"154","10","2","WD57",484,57,0.626525847020561
"155","11","2","WD57",466,57,0.494432549844923
"156","12","2","WD57",618,57,1.60988705932809
"157","13","3","WD57",518,57,0.876035408352322
"158","14","3","WD57",544,57,1.06683683760602
"159","15","3","WD57",555,57,1.14756051921336
"160","16","3","WD57",553,57,1.13288348619384
"161","1","1","WD64",278,64,-0.903260540118854
"162","2","1","WD64",245,64,-1.13971148963931
"163","3","1","WD64",269,64,-0.967747162715342
"164","4","1","WD64",275,64,-0.92475608098435
"165","5","1","WD64",280,64,-0.888930179541857
"166","6","1","WD64",281,64,-0.881764999253358
"167","7","1","WD64",284,64,-0.860269458387863
"168","8","1","WD64",278,64,-0.903260540118854
"169","9","2","WD64",478,64,0.529775517580865
"170","10","2","WD64",496,64,0.65874876277384
"171","11","2","WD64",472,64,0.486784435849873
"172","12","2","WD64",628,64,1.60455256085565
"173","13","3","WD64",525,64,0.866538991140299
"174","14","3","WD64",559,64,1.11015512094925
"175","15","3","WD64",548,64,1.03133813777577
"176","16","3","WD64",569,64,1.18180692383424
